model_selector,segment,TotHH,Total_Employment,Hotels,Higher ed,Government,NAICS_1,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,NAICS_7,NAICS_8,NAICS_9,NAICS_10,NAICS_11,NAICS_12,NAICS_13,NAICS_14,NAICS_15,NAICS_16,NAICS_17
#workplace,work_low,,,,,,,,,,,,,,,,,,,,,,
#workplace,work_med,,,,,,,,,,,,,,,,,,,,,,
#workplace,work_high,,,,,,,,,,,,,,,,,,,,,,
#workplace,work_veryhigh,,,,,,,,,,,,,,,,,,,,,,
#school,university,,,,,,,,,,,,,,,,,,,,,,
#school,gradeschool,,,,,,,,,,,,,,,,,,,,,,
#school,highschool,,,,,,,,,,,,,,,,,,,,,,
#non_mandatory,escort,,,,,,,,,,,,,,,,,,,,,,
#non_mandatory,escort_kids,,,,,,,,,,,,,,,,,,,,,,
#non_mandatory,escort_nokids,,,,,,,,,,,,,,,,,,,,,,
#non_mandatory,shopping,,,,,,,,,,,,,,,,,,,,,,
#non_mandatory,eatout,,,,,,,,,,,,,,,,,,,,,,
#non_mandatory,othmaint,,,,,,,,,,,,,,,,,,,,,,
#non_mandatory,social,,,,,,,,,,,,,,,,,,,,,,
#non_mandatory,othdiscr,,,,,,,,,,,,,,,,,,,,,,
#atwork,atwork,,,,,,,,,,,,,,,,,,,,,,
#trip,work,,,,,,,,,,,,,,,,,,,,,,
#trip,escort,,,,,,,,,,,,,,,,,,,,,,
#trip,shopping,,,,,,,,,,,,,,,,,,,,,,
#trip,eatout,,,,,,,,,,,,,,,,,,,,,,
#trip,othmaint,,,,,,,,,,,,,,,,,,,,,,
#trip,social,,,,,,,,,,,,,,,,,,,,,,
#trip,othdiscr,,,,,,,,,,,,,,,,,,,,,,
#trip,univ,,,,,,,,,,,,,,,,,,,,,,
# not needed as school is not chosen as an intermediate trip destination,,,,,,,,,,,,,,,,,,,,,,,
#trip,gradeschool,0,0,0,0,0,0,,,,,,,,,,,,,,,,
#trip,highschool,0,0,0,0,0,0,,,,,,,,,,,,,,,,
ldt,household_day,,,,,,,,,,,,,,,,,,,,,,
ldt,household_overnight,,,5.557,,,,,,,,,,,,,,,,,,,
ldt,workrelated_day_1,,1,0,,1.954,1.301,,,,,,,,,,,,,,,,
ldt,workrelated_day_2,,1,0,,1.954,,1.301,,,,,,,,,,,,,,,
ldt,workrelated_day_3,,1,0,,1.954,,,1.301,,,,,,,,,,,,,,
ldt,workrelated_day_4,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_5,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_6,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_7,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_8,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_9,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_10,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_11,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_12,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_13,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_14,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_15,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_16,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_day_17,,1,0,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_1,,1,5.431,,1.954,1.301,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_2,,1,5.431,,1.954,,1.301,,,,,,,,,,,,,,,
ldt,workrelated_overnight_3,,1,5.431,,1.954,,,1.301,,,,,,,,,,,,,,
ldt,workrelated_overnight_4,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_5,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_6,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_7,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_8,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_9,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_10,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_11,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_12,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_13,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_14,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_15,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_16,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,workrelated_overnight_17,,1,5.431,,1.954,,,,,,,,,,,,,,,,,
ldt,other_day_student,0.672,1,,4.387,,,,,,,,,,,,,,,,,,
ldt,other_overnight_student,0.672,1,4.018,4.387,,,,,,,,,,,,,,,,,,
ldt,other_day_nonstudent,0.672,1,,0,,,,,,,,,,,,,,,,,,
ldt,other_overnight_nonstudent,0.672,1,4.018,0,,,,,,,,,,,,,,,,,,
